FullGeoName,Year,Travel status,County,Count,Legend,Notes
"TX, Gillespie",2010 - 2023,All,48171,1 to 4,1 to 4,"TX, Gillespie County"
"TX, Gregg",2010 - 2023,All,48183,1 to 4,1 to 4,"TX, Gregg County"
"TX, Grimes",2010 - 2023,All,48185,1 to 4,1 to 4,"TX, Grimes County"
"TX, Guadalupe",2010 - 2023,All,48187,1 to 4,1 to 4,"TX, Guadalupe County"
"TX, Hamilton",2010 - 2023,All,48193,1 to 4,1 to 4,"TX, Hamilton County"
"TX, Hood",2010 - 2023,All,48221,1 to 4,1 to 4,"TX, Hood County"
"TX, Hunt",2010 - 2023,All,48231,1 to 4,1 to 4,"TX, Hunt County"
"TX, Jackson",2010 - 2023,All,48239,1 to 4,1 to 4,"TX, Jackson County"
"TX, Jefferson",2010 - 2023,All,48245,1 to 4,1 to 4,"TX, Jefferson County"
"TX, Johnson",2010 - 2023,All,48251,1 to 4,1 to 4,"TX, Johnson County"
"TX, Kendall",2010 - 2023,All,48259,1 to 4,1 to 4,"TX, Kendall County"
"TX, Liberty",2010 - 2023,All,48291,1 to 4,1 to 4,"TX, Liberty County"
"TX, Lubbock",2010 - 2023,All,48303,1 to 4,1 to 4,"TX, Lubbock County"
"TX, Mclennan",2010 - 2023,All,48309,1 to 4,1 to 4,"TX, McLennan County"
"TX, Midland",2010 - 2023,All,48329,1 to 4,1 to 4,"TX, Midland County"
"TX, Parker",2010 - 2023,All,48367,1 to 4,1 to 4,"TX, Parker County"
"TX, Randall",2010 - 2023,All,48381,1 to 4,1 to 4,"TX, Randall County"
"TX, Refugio",2010 - 2023,All,48391,1 to 4,1 to 4,"TX, Refugio County"
"TX, Rockwall",2010 - 2023,All,48397,1 to 4,1 to 4,"TX, Rockwall County"
"TX, Rusk",2010 - 2023,All,48401,1 to 4,1 to 4,"TX, Rusk County"
"TX, Scurry",2010 - 2023,All,48415,1 to 4,1 to 4,"TX, Scurry County"
"TX, Smith",2010 - 2023,All,48423,1 to 4,1 to 4,"TX, Smith County"
"TX, Starr",2010 - 2023,All,48427,1 to 4,1 to 4,"TX, Starr County"
"TX, Tom Green",2010 - 2023,All,48451,1 to 4,1 to 4,"TX, Tom Green County"
"TX, Val Verde",2010 - 2023,All,48465,1 to 4,1 to 4,"TX, Val Verde County"
"TX, Walker",2010 - 2023,All,48471,1 to 4,1 to 4,"TX, Walker County"
"TX, Wichita",2010 - 2023,All,48485,1 to 4,1 to 4,"TX, Wichita County"
"TX, Wilbarger",2010 - 2023,All,48487,1 to 4,1 to 4,"TX, Wilbarger County"
"TX, Willacy",2010 - 2023,All,48489,1 to 4,1 to 4,"TX, Willacy County"
"TX, Wise",2010 - 2023,All,48497,1 to 4,1 to 4,"TX, Wise County"
"UT, Cache",2010 - 2023,All,49005,1 to 4,1 to 4,"UT, Cache County"
"UT, Wasatch",2010 - 2023,All,49051,1 to 4,1 to 4,"UT, Wasatch County"
"UT, Weber",2010 - 2023,All,49057,1 to 4,1 to 4,"UT, Weber County"
"VT, Caledonia",2010 - 2023,All,50005,1 to 4,1 to 4,"VT, Caledonia County"
"VT, Franklin",2010 - 2023,All,50011,1 to 4,1 to 4,"VT, Franklin County"
"VT, Lamoille",2010 - 2023,All,50015,1 to 4,1 to 4,"VT, Lamoille County"
"VT, Rutland",2010 - 2023,All,50021,1 to 4,1 to 4,"VT, Rutland County"
"VT, Washington",2010 - 2023,All,50023,1 to 4,1 to 4,"VT, Washington County"
"VT, Windham",2010 - 2023,All,50025,1 to 4,1 to 4,"VT, Windham County"
"VT, Windsor",2010 - 2023,All,50027,1 to 4,1 to 4,"VT, Windsor County"
"VA, Accomack",2010 - 2023,All,51001,1 to 4,1 to 4,"VA, Accomack County"
"VA, Augusta",2010 - 2023,All,51015,1 to 4,1 to 4,"VA, Augusta County"
"VA, Chesterfield",2010 - 2023,All,51041,1 to 4,1 to 4,"VA, Chesterfield County"
"VA, Clarke",2010 - 2023,All,51043,1 to 4,1 to 4,"VA, Clarke County"
"VA, Culpeper",2010 - 2023,All,51047,1 to 4,1 to 4,"VA, Culpeper County"
"VA, Fauquier",2010 - 2023,All,51061,1 to 4,1 to 4,"VA, Fauquier County"
"VA, Franklin",2010 - 2023,All,51067,1 to 4,1 to 4,"VA, Franklin County"
"VA, Frederick",2010 - 2023,All,51069,1 to 4,1 to 4,"VA, Frederick County"
"VA, Goochland",2010 - 2023,All,51075,1 to 4,1 to 4,"VA, Goochland County"
"VA, Henrico",2010 - 2023,All,51087,1 to 4,1 to 4,"VA, Henrico County"
"VA, Madison",2010 - 2023,All,51113,1 to 4,1 to 4,"VA, Madison County"
"VA, Montgomery",2010 - 2023,All,51121,1 to 4,1 to 4,"VA, Montgomery County"
"VA, Orange",2010 - 2023,All,51137,1 to 4,1 to 4,"VA, Orange County"
"VA, Rappahannock",2010 - 2023,All,51157,1 to 4,1 to 4,"VA, Rappahannock County"
"VA, Roanoke",2010 - 2023,All,51161,1 to 4,1 to 4,"VA, Roanoke County"
"VA, Rockbridge",2010 - 2023,All,51163,1 to 4,1 to 4,"VA, Rockbridge County"
"VA, Rockingham",2010 - 2023,All,51165,1 to 4,1 to 4,"VA, Rockingham County"
"VA, Shenandoah",2010 - 2023,All,51171,1 to 4,1 to 4,"VA, Shenandoah County"
"VA, Spotsylvania",2010 - 2023,All,51177,1 to 4,1 to 4,"VA, Spotsylvania County"
"VA, Stafford",2010 - 2023,All,51179,1 to 4,1 to 4,"VA, Stafford County"
"VA, Warren",2010 - 2023,All,51187,1 to 4,1 to 4,"VA, Warren County"
"VA, Wise",2010 - 2023,All,51195,1 to 4,1 to 4,"VA, Wise County"
"VA, Charlottesville City",2010 - 2023,All,51540,1 to 4,1 to 4,"VA, Charlottesville, City of"
"VA, Chesapeake City",2010 - 2023,All,51550,1 to 4,1 to 4,"VA, Chesapeake, City of"
"VA, Emporia City",2010 - 2023,All,51595,1 to 4,1 to 4,"VA, Emporia, City of"
"VA, Falls Church City",2010 - 2023,All,51610,1 to 4,1 to 4,"VA, Falls Church, City of"
"VA, Fredericksburg City",2010 - 2023,All,51630,1 to 4,1 to 4,"VA, Fredericksburg, City of"
"VA, Harrisonburg City",2010 - 2023,All,51660,1 to 4,1 to 4,"VA, Harrisonburg, City of"
"VA, Lynchburg City",2010 - 2023,All,51680,1 to 4,1 to 4,"VA, Lynchburg, City of"
"VA, Manassas City",2010 - 2023,All,51683,1 to 4,1 to 4,"VA, Manassas, City of"
"VA, Newport News City",2010 - 2023,All,51700,1 to 4,1 to 4,"VA, Newport News, City of"
"VA, Norfolk City",2010 - 2023,All,51710,1 to 4,1 to 4,"VA, Norfolk, City of"
"VA, Richmond City",2010 - 2023,All,51760,1 to 4,1 to 4,"VA, Richmond, City of"
"VA, Roanoke City",2010 - 2023,All,51770,1 to 4,1 to 4,"VA, Roanoke, City of"
"VA, Williamsburg City",2010 - 2023,All,51830,1 to 4,1 to 4,"VA, Williamsburg, City of"
"VA, Winchester City",2010 - 2023,All,51840,1 to 4,1 to 4,"VA, Winchester, City of"
"WA, Benton",2010 - 2023,All,53005,1 to 4,1 to 4,"WA, Benton County"
"WA, Chelan",2010 - 2023,All,53007,1 to 4,1 to 4,"WA, Chelan County"
"WA, Clallam",2010 - 2023,All,53009,1 to 4,1 to 4,"WA, Clallam County"
"WA, Franklin",2010 - 2023,All,53021,1 to 4,1 to 4,"WA, Franklin County"
"WA, Island",2010 - 2023,All,53029,1 to 4,1 to 4,"WA, Island County"
"WA, San Juan",2010 - 2023,All,53055,1 to 4,1 to 4,"WA, San Juan County"
"WA, Stevens",2010 - 2023,All,53065,1 to 4,1 to 4,"WA, Stevens County"
"WA, Walla Walla",2010 - 2023,All,53071,1 to 4,1 to 4,"WA, Walla Walla County"
"WA, Whatcom",2010 - 2023,All,53073,1 to 4,1 to 4,"WA, Whatcom County"
"WV, Fayette",2010 - 2023,All,54019,1 to 4,1 to 4,"WV, Fayette County"
"WV, Hampshire",2010 - 2023,All,54027,1 to 4,1 to 4,"WV, Hampshire County"
"WV, Kanawha",2010 - 2023,All,54039,1 to 4,1 to 4,"WV, Kanawha County"
"WV, Monongalia",2010 - 2023,All,54061,1 to 4,1 to 4,"WV, Monongalia County"
"WV, Randolph",2010 - 2023,All,54083,1 to 4,1 to 4,"WV, Randolph County"
"WV, Tyler",2010 - 2023,All,54095,1 to 4,1 to 4,"WV, Tyler County"
"WV, Wood",2010 - 2023,All,54107,1 to 4,1 to 4,"WV, Wood County"
"WI, Bayfield",2010 - 2023,All,55007,1 to 4,1 to 4,"WI, Bayfield County"
"WI, Brown",2010 - 2023,All,55009,1 to 4,1 to 4,"WI, Brown County"
"WI, Clark",2010 - 2023,All,55019,1 to 4,1 to 4,"WI, Clark County"
"WI, Columbia",2010 - 2023,All,55021,1 to 4,1 to 4,"WI, Columbia County"
"WI, Door",2010 - 2023,All,55029,1 to 4,1 to 4,"WI, Door County"
"WI, Douglas",2010 - 2023,All,55031,1 to 4,1 to 4,"WI, Douglas County"
"WI, Eau Claire",2010 - 2023,All,55035,1 to 4,1 to 4,"WI, Eau Claire County"
"WI, Green",2010 - 2023,All,55045,1 to 4,1 to 4,"WI, Green County"
"WI, Juneau",2010 - 2023,All,55057,1 to 4,1 to 4,"WI, Juneau County"
"WI, Kenosha",2010 - 2023,All,55059,1 to 4,1 to 4,"WI, Kenosha County"
"WI, La Crosse",2010 - 2023,All,55063,1 to 4,1 to 4,"WI, La Crosse County"
"WI, Lafayette",2010 - 2023,All,55065,1 to 4,1 to 4,"WI, Lafayette County"
"WI, Marathon",2010 - 2023,All,55073,1 to 4,1 to 4,"WI, Marathon County"
"WI, Monroe",2010 - 2023,All,55081,1 to 4,1 to 4,"WI, Monroe County"
"WI, Oneida",2010 - 2023,All,55085,1 to 4,1 to 4,"WI, Oneida County"
"WI, Ozaukee",2010 - 2023,All,55089,1 to 4,1 to 4,"WI, Ozaukee County"
"WI, Polk",2010 - 2023,All,55095,1 to 4,1 to 4,"WI, Polk County"
"WI, Portage",2010 - 2023,All,55097,1 to 4,1 to 4,"WI, Portage County"
"WI, Racine",2010 - 2023,All,55101,1 to 4,1 to 4,"WI, Racine County"
"WI, Richland",2010 - 2023,All,55103,1 to 4,1 to 4,"WI, Richland County"
"WI, Rock",2010 - 2023,All,55105,1 to 4,1 to 4,"WI, Rock County"
"WI, St Croix",2010 - 2023,All,55109,1 to 4,1 to 4,"WI, St. Croix County"
"WI, Sauk",2010 - 2023,All,55111,1 to 4,1 to 4,"WI, Sauk County"
"WI, Shawano",2010 - 2023,All,55115,1 to 4,1 to 4,"WI, Shawano County"
"WI, Sheboygan",2010 - 2023,All,55117,1 to 4,1 to 4,"WI, Sheboygan County"
"WI, Washburn",2010 - 2023,All,55129,1 to 4,1 to 4,"WI, Washburn County"
"WI, Washington",2010 - 2023,All,55131,1 to 4,1 to 4,"WI, Washington County"
"WI, Winnebago",2010 - 2023,All,55139,1 to 4,1 to 4,"WI, Winnebago County"
"WY, Big Horn",2010 - 2023,All,56003,1 to 4,1 to 4,"WY, Big Horn County"
"WY, Laramie",2010 - 2023,All,56021,1 to 4,1 to 4,"WY, Laramie County"
"WY, Teton",2010 - 2023,All,56039,1 to 4,1 to 4,"WY, Teton County"
"AS, Olosega",2010 - 2023,All,60020,1 to 4,1 to 4,"AS, Manu'a District"
,2010 - 2023,All,68190,1 to 4,1 to 4,"MH, Majuro"
"MP, Saipan",2010 - 2023,All,69110,1 to 4,1 to 4,"MP, Saipan Municipality"
,2010 - 2023,All,70999,1 to 4,1 to 4,"NY, Unk"
"AL, Jefferson",2010 - 2023,All,01073,12,5 to 49,"AL, Jefferson County"
"AL, Madison",2010 - 2023,All,01089,8,5 to 49,"AL, Madison County"
"AL, Montgomery",2010 - 2023,All,01101,5,5 to 49,"AL, Montgomery County"
"AK, Anchorage Muny",2010 - 2023,All,02020,11,5 to 49,"AK, Anchorage, Municipality of"
AK,2010 - 2023,All,02999,9,5 to 49,"AK, Alaska"
"AZ, Pima",2010 - 2023,All,04019,25,5 to 49,"AZ, Pima County"
"AZ, Pinal",2010 - 2023,All,04021,8,5 to 49,"AZ, Pinal County"
"AR, Benton",2010 - 2023,All,05007,5,5 to 49,"AR, Benton County"
"AR, Washington",2010 - 2023,All,05143,8,5 to 49,"AR, Washington County"
"CA, Butte",2010 - 2023,All,06007,6,5 to 49,"CA, Butte County"
"CA, El Dorado",2010 - 2023,All,06017,5,5 to 49,"CA, El Dorado County"
"CA, Fresno",2010 - 2023,All,06019,23,5 to 49,"CA, Fresno County"
"CA, Kern",2010 - 2023,All,06029,18,5 to 49,"CA, Kern County"
"CA, Marin",2010 - 2023,All,06041,17,5 to 49,"CA, Marin County"
"CA, Monterey",2010 - 2023,All,06053,10,5 to 49,"CA, Monterey County"
"CA, Napa",2010 - 2023,All,06055,8,5 to 49,"CA, Napa County"
"CA, Placer",2010 - 2023,All,06061,13,5 to 49,"CA, Placer County"
"CA, Riverside",2010 - 2023,All,06065,41,5 to 49,"CA, Riverside County"
"CA, Sacramento",2010 - 2023,All,06067,42,5 to 49,"CA, Sacramento County"
"CA, San Bernardino",2010 - 2023,All,06071,37,5 to 49,"CA, San Bernardino County"
"CA, San Joaquin",2010 - 2023,All,06077,18,5 to 49,"CA, San Joaquin County"
"CA, San Luis Obispo",2010 - 2023,All,06079,15,5 to 49,"CA, San Luis Obispo County"
"CA, Santa Barbara",2010 - 2023,All,06083,21,5 to 49,"CA, Santa Barbara County"
"CA, Santa Cruz",2010 - 2023,All,06087,13,5 to 49,"CA, Santa Cruz County"
"CA, Solano",2010 - 2023,All,06095,18,5 to 49,"CA, Solano County"
"CA, Sonoma",2010 - 2023,All,06097,29,5 to 49,"CA, Sonoma County"
"CA, Stanislaus",2010 - 2023,All,06099,17,5 to 49,"CA, Stanislaus County"
"CA, Tulare",2010 - 2023,All,06107,6,5 to 49,"CA, Tulare County"
"CA, Ventura",2010 - 2023,All,06111,24,5 to 49,"CA, Ventura County"
"CA, Yolo",2010 - 2023,All,06113,18,5 to 49,"CA, Yolo County"
"CO, Arapahoe",2010 - 2023,All,08005,18,5 to 49,"CO, Arapahoe County"
"CO, Boulder",2010 - 2023,All,08013,16,5 to 49,"CO, Boulder County"
"CO, Denver",2010 - 2023,All,08031,20,5 to 49,"CO, Denver, City and County of"
"CO, Douglas",2010 - 2023,All,08035,13,5 to 49,"CO, Douglas County"
"CO, Eagle",2010 - 2023,All,08037,5,5 to 49,"CO, Eagle County"
"CO, El Paso",2010 - 2023,All,08041,11,5 to 49,"CO, El Paso County"
"CO, Garfield",2010 - 2023,All,08045,5,5 to 49,"CO, Garfield County"
"CO, Jefferson",2010 - 2023,All,08059,16,5 to 49,"CO, Jefferson County"
"CO, Larimer",2010 - 2023,All,08069,9,5 to 49,"CO, Larimer County"
"CT, Fairfield",2010 - 2023,All,09001,32,5 to 49,"CT, Fairfield County"
"CT, Hartford",2010 - 2023,All,09003,26,5 to 49,"CT, Hartford County"
"CT, Litchfield",2010 - 2023,All,09005,5,5 to 49,"CT, Litchfield County"
"CT, New Haven",2010 - 2023,All,09009,16,5 to 49,"CT, New Haven County"
"CT, New London",2010 - 2023,All,09011,5,5 to 49,"CT, New London County"
"DE, New Castle",2010 - 2023,All,10003,17,5 to 49,"DE, New Castle County"
"FL, Alachua",2010 - 2023,All,12001,15,5 to 49,"FL, Alachua County"
"FL, Brevard",2010 - 2023,All,12009,19,5 to 49,"FL, Brevard County"
"FL, Charlotte",2010 - 2023,All,12015,6,5 to 49,"FL, Charlotte County"
"FL, Clay",2010 - 2023,All,12019,8,5 to 49,"FL, Clay County"
"FL, Collier",2010 - 2023,All,12021,31,5 to 49,"FL, Collier County"
"FL, Duval",2010 - 2023,All,12031,39,5 to 49,"FL, Duval County"
"FL, Flagler",2010 - 2023,All,12035,7,5 to 49,"FL, Flagler County"
"FL, Hardee",2010 - 2023,All,12049,19,5 to 49,"FL, Hardee County"
"FL, Hendry",2010 - 2023,All,12051,7,5 to 49,"FL, Hendry County"
"FL, Hernando",2010 - 2023,All,12053,6,5 to 49,"FL, Hernando County"
"FL, Indian River",2010 - 2023,All,12061,6,5 to 49,"FL, Indian River County"
"FL, Lake",2010 - 2023,All,12069,6,5 to 49,"FL, Lake County"
"FL, Manatee",2010 - 2023,All,12081,12,5 to 49,"FL, Manatee County"
"FL, Marion",2010 - 2023,All,12083,8,5 to 49,"FL, Marion County"
"FL, Martin",2010 - 2023,All,12085,21,5 to 49,"FL, Martin County"
"FL, Osceola",2010 - 2023,All,12097,39,5 to 49,"FL, Osceola County"
"FL, Pasco",2010 - 2023,All,12101,16,5 to 49,"FL, Pasco County"
"FL, Pinellas",2010 - 2023,All,12103,28,5 to 49,"FL, Pinellas County"
"FL, Polk",2010 - 2023,All,12105,25,5 to 49,"FL, Polk County"
"FL, St Johns",2010 - 2023,All,12109,10,5 to 49,"FL, St. Johns County"
"FL, St Lucie",2010 - 2023,All,12111,32,5 to 49,"FL, St. Lucie County"
"FL, Sarasota",2010 - 2023,All,12115,21,5 to 49,"FL, Sarasota County"
"FL, Seminole",2010 - 2023,All,12117,27,5 to 49,"FL, Seminole County"
"FL, Volusia",2010 - 2023,All,12127,17,5 to 49,"FL, Volusia County"
"GA, Cobb",2010 - 2023,All,13067,12,5 to 49,"GA, Cobb County"
"GA, De Kalb",2010 - 2023,All,13089,12,5 to 49,"GA, DeKalb County"
"GA, Fulton",2010 - 2023,All,13121,34,5 to 49,"GA, Fulton County"
"GA, Gwinnett",2010 - 2023,All,13135,22,5 to 49,"GA, Gwinnett County"
"HI, Kauai",2010 - 2023,All,15007,8,5 to 49,"HI, Kauai County"
"HI, Maui",2010 - 2023,All,15009,18,5 to 49,"HI, Maui County"
"ID, Ada",2010 - 2023,All,16001,12,5 to 49,"ID, Ada County"
"IL, Champaign",2010 - 2023,All,17019,6,5 to 49,"IL, Champaign County"
"IL, Du Page",2010 - 2023,All,17043,34,5 to 49,"IL, DuPage County"
"IL, Kane",2010 - 2023,All,17089,11,5 to 49,"IL, Kane County"
"IL, Kendall",2010 - 2023,All,17093,5,5 to 49,"IL, Kendall County"
"IL, Lake",2010 - 2023,All,17097,26,5 to 49,"IL, Lake County"
"IL, Will",2010 - 2023,All,17197,17,5 to 49,"IL, Will County"
"IN, Hamilton",2010 - 2023,All,18057,10,5 to 49,"IN, Hamilton County"
"IN, Marion",2010 - 2023,All,18097,17,5 to 49,"IN, Marion County"
"IN, St Joseph",2010 - 2023,All,18141,5,5 to 49,"IN, St. Joseph County"
"IN, Tippecanoe",2010 - 2023,All,18157,7,5 to 49,"IN, Tippecanoe County"
"IA, Dallas",2010 - 2023,All,19049,7,5 to 49,"IA, Dallas County"
"IA, Johnson",2010 - 2023,All,19103,6,5 to 49,"IA, Johnson County"
"IA, Linn",2010 - 2023,All,19113,5,5 to 49,"IA, Linn County"
"IA, Polk",2010 - 2023,All,19153,5,5 to 49,"IA, Polk County"
"IA, Sioux",2010 - 2023,All,19167,7,5 to 49,"IA, Sioux County"
"KS, Douglas",2010 - 2023,All,20045,5,5 to 49,"KS, Douglas County"
"KS, Johnson",2010 - 2023,All,20091,13,5 to 49,"KS, Johnson County"
"KS, Sedgwick",2010 - 2023,All,20173,6,5 to 49,"KS, Sedgwick County"
"KY, Jefferson",2010 - 2023,All,21111,11,5 to 49,"KY, Jefferson County"
"LA, Jefferson Parish",2010 - 2023,All,22051,10,5 to 49,"LA, Jefferson Parish"
"LA, Lafayette Parish",2010 - 2023,All,22055,5,5 to 49,"LA, Lafayette Parish"
"LA, Orleans Parish",2010 - 2023,All,22071,18,5 to 49,"LA, Orleans Parish"
"LA, St Tammany Parish",2010 - 2023,All,22103,5,5 to 49,"LA, St. Tammany Parish"
"ME, Cumberland",2010 - 2023,All,23005,9,5 to 49,"ME, Cumberland County"
"MD, Anne Arundel",2010 - 2023,All,24003,17,5 to 49,"MD, Anne Arundel County"
"MD, Baltimore",2010 - 2023,All,24005,21,5 to 49,"MD, Baltimore County"
"MD, Frederick",2010 - 2023,All,24021,8,5 to 49,"MD, Frederick County"
"MD, Howard",2010 - 2023,All,24027,12,5 to 49,"MD, Howard County"
"MD, Montgomery",2010 - 2023,All,24031,38,5 to 49,"MD, Montgomery County"
"MD, Prince Georges",2010 - 2023,All,24033,20,5 to 49,"MD, Prince George's County"
"MD, Baltimore City",2010 - 2023,All,24510,10,5 to 49,"MD, Baltimore City"
"MA, Essex",2010 - 2023,All,25009,25,5 to 49,"MA, Essex County"
"MA, Middlesex",2010 - 2023,All,25017,48,5 to 49,"MA, Middlesex County"
"MA, Norfolk",2010 - 2023,All,25021,19,5 to 49,"MA, Norfolk County"
"MA, Plymouth",2010 - 2023,All,25023,8,5 to 49,"MA, Plymouth County"
"MA, Worcester",2010 - 2023,All,25027,17,5 to 49,"MA, Worcester County"
"MI, Ingham",2010 - 2023,All,26065,6,5 to 49,"MI, Ingham County"
"MI, Kent",2010 - 2023,All,26081,15,5 to 49,"MI, Kent County"
"MI, Livingston",2010 - 2023,All,26093,5,5 to 49,"MI, Livingston County"
"MI, Oakland",2010 - 2023,All,26125,36,5 to 49,"MI, Oakland County"
"MI, Washtenaw",2010 - 2023,All,26161,30,5 to 49,"MI, Washtenaw County"
"MI, Wayne",2010 - 2023,All,26163,20,5 to 49,"MI, Wayne County"
"MN, Anoka",2010 - 2023,All,27003,7,5 to 49,"MN, Anoka County"
"MN, Dakota",2010 - 2023,All,27037,21,5 to 49,"MN, Dakota County"
"MN, Ramsey",2010 - 2023,All,27123,22,5 to 49,"MN, Ramsey County"
"MN, Scott",2010 - 2023,All,27139,6,5 to 49,"MN, Scott County"
"MN, Washington",2010 - 2023,All,27163,12,5 to 49,"MN, Washington County"
"MO, Jackson",2010 - 2023,All,29095,7,5 to 49,"MO, Jackson County"
