FullGeoName,Year,County,Activity,Total human disease cases,Neuroinvasive disease cases
"AL, Autauga",2003-2022,01001,Non-human activity,0,0
"AL, Baldwin",2003-2022,01003,Human disease cases and non-human activity,4,4
"AL, Bibb",2003-2022,01007,Non-human activity,0,0
"AL, Bullock",2003-2022,01011,Non-human activity,0,0
"AL, Butler",2003-2022,01013,Non-human activity,0,0
"AL, Cherokee",2003-2022,01019,Non-human activity,0,0
"AL, Chilton",2003-2022,01021,Non-human activity,0,0
"AL, Choctaw",2003-2022,01023,Non-human activity,0,0
"AL, Clarke",2003-2022,01025,Non-human activity,0,0
"AL, Clay",2003-2022,01027,Non-human activity,0,0
"AL, Conecuh",2003-2022,01035,Human disease cases and non-human activity,1,1
"AL, Coosa",2003-2022,01037,Non-human activity,0,0
"AL, Covington",2003-2022,01039,Non-human activity,0,0
"AL, Cullman",2003-2022,01043,Non-human activity,0,0
"AL, Dale",2003-2022,01045,Non-human activity,0,0
"AL, Dallas",2003-2022,01047,Non-human activity,0,0
"AL, De Kalb",2003-2022,01049,Non-human activity,0,0
"AL, Elmore",2003-2022,01051,Non-human activity,0,0
"AL, Escambia",2003-2022,01053,Human disease cases and non-human activity,2,2
"AL, Fayette",2003-2022,01057,Non-human activity,0,0
"AL, Geneva",2003-2022,01061,Non-human activity,0,0
"AL, Greene",2003-2022,01063,Non-human activity,0,0
"AL, Hale",2003-2022,01065,Non-human activity,0,0
"AL, Henry",2003-2022,01067,Non-human activity,0,0
"AL, Houston",2003-2022,01069,Non-human activity,0,0
"AL, Jackson",2003-2022,01071,Non-human activity,0,0
"AL, Jefferson",2003-2022,01073,Non-human activity,0,0
"AL, Lawrence",2003-2022,01079,Non-human activity,0,0
"AL, Lee",2003-2022,01081,Non-human activity,0,0
"AL, Limestone",2003-2022,01083,Non-human activity,0,0
"AL, Lowndes",2003-2022,01085,Non-human activity,0,0
"AL, Macon",2003-2022,01087,Non-human activity,0,0
"AL, Marengo",2003-2022,01091,Non-human activity,0,0
"AL, Marion",2003-2022,01093,Non-human activity,0,0
"AL, Marshall",2003-2022,01095,Non-human activity,0,0
"AL, Mobile",2003-2022,01097,Human disease cases and non-human activity,1,1
"AL, Monroe",2003-2022,01099,Non-human activity,0,0
"AL, Montgomery",2003-2022,01101,Non-human activity,0,0
"AL, Morgan",2003-2022,01103,Non-human activity,0,0
"AL, Perry",2003-2022,01105,Non-human activity,0,0
"AL, Pike",2003-2022,01109,Non-human activity,0,0
"AL, Russell",2003-2022,01113,Non-human activity,0,0
"AL, Tuscaloosa",2003-2022,01125,Non-human activity,0,0
"AL, Walker",2003-2022,01127,Non-human activity,0,0
"AL, Washington",2003-2022,01129,Non-human activity,0,0
"AL, Wilcox",2003-2022,01131,Non-human activity,0,0
"AL, Winston",2003-2022,01133,Non-human activity,0,0
"AR, Arkansas",2003-2022,05001,Non-human activity,0,0
"AR, Benton",2003-2022,05007,Non-human activity,0,0
"AR, Boone",2003-2022,05009,Non-human activity,0,0
"AR, Chicot",2003-2022,05017,Non-human activity,0,0
"AR, Desha",2003-2022,05041,Non-human activity,0,0
"AR, Garland",2003-2022,05051,Non-human activity,0,0
"AR, Greene",2003-2022,05055,Non-human activity,0,0
"AR, Hot Spring",2003-2022,05059,Non-human activity,0,0
"AR, Howard",2003-2022,05061,Non-human activity,0,0
"AR, Independence",2003-2022,05063,Non-human activity,0,0
"AR, Izard",2003-2022,05065,Non-human activity,0,0
"AR, Jefferson",2003-2022,05069,Non-human activity,0,0
"AR, Little River",2003-2022,05081,Non-human activity,0,0
"AR, Lonoke",2003-2022,05085,Non-human activity,0,0
"AR, Madison",2003-2022,05087,Non-human activity,0,0
"AR, Montgomery",2003-2022,05097,Non-human activity,0,0
"AR, Ouachita",2003-2022,05103,Non-human activity,0,0
"AR, Pope",2003-2022,05115,Non-human activity,0,0
"AR, Prairie",2003-2022,05117,Non-human activity,0,0
"AR, Pulaski",2003-2022,05119,Non-human activity,0,0
"AR, St Francis",2003-2022,05123,Non-human activity,0,0
"AR, Saline",2003-2022,05125,Non-human activity,0,0
"AR, Scott",2003-2022,05127,Non-human activity,0,0
"AR, Sevier",2003-2022,05133,Human disease cases and non-human activity,1,1
"AR, Stone",2003-2022,05137,Non-human activity,0,0
"AR, Union",2003-2022,05139,Non-human activity,0,0
"AR, Van Buren",2003-2022,05141,Non-human activity,0,0
"AR, White",2003-2022,05145,Non-human activity,0,0
"AR, Yell",2003-2022,05149,Non-human activity,0,0
"CT, Fairfield",2003-2022,09001,Non-human activity,0,0
"CT, Hartford",2003-2022,09003,Non-human activity,0,0
"CT, Middlesex",2003-2022,09007,Human disease cases and non-human activity,1,1
"CT, New Haven",2003-2022,09009,Non-human activity,0,0
"CT, New London",2003-2022,09011,Human disease cases and non-human activity,3,3
"CT, Tolland",2003-2022,09013,Non-human activity,0,0
"CT, Windham",2003-2022,09015,Human disease cases and non-human activity,1,1
"DE, Kent",2003-2022,10001,Non-human activity,0,0
"DE, New Castle",2003-2022,10003,Non-human activity,0,0
"DE, Sussex",2003-2022,10005,Non-human activity,0,0
"FL, Alachua",2003-2022,12001,Non-human activity,0,0
"FL, Baker",2003-2022,12003,Non-human activity,0,0
"FL, Bay",2003-2022,12005,Human disease cases and non-human activity,1,1
"FL, Bradford",2003-2022,12007,Human disease cases and non-human activity,1,1
"FL, Brevard",2003-2022,12009,Non-human activity,0,0
"FL, Calhoun",2003-2022,12013,Non-human activity,0,0
"FL, Charlotte",2003-2022,12015,Non-human activity,0,0
"FL, Citrus",2003-2022,12017,Non-human activity,0,0
"FL, Clay",2003-2022,12019,Non-human activity,0,0
"FL, Collier",2003-2022,12021,Non-human activity,0,0
"FL, Columbia",2003-2022,12023,Non-human activity,0,0
"FL, De Soto",2003-2022,12027,Non-human activity,0,0
"FL, Dixie",2003-2022,12029,Non-human activity,0,0
"FL, Duval",2003-2022,12031,Human disease cases and non-human activity,2,2
"FL, Escambia",2003-2022,12033,Non-human activity,0,0
"FL, Flagler",2003-2022,12035,Non-human activity,0,0
"FL, Franklin",2003-2022,12037,Non-human activity,0,0
"FL, Gadsden",2003-2022,12039,Human disease cases and non-human activity,1,1
"FL, Gilchrist",2003-2022,12041,Non-human activity,0,0
"FL, Glades",2003-2022,12043,Non-human activity,0,0
"FL, Gulf",2003-2022,12045,Non-human activity,0,0
"FL, Hamilton",2003-2022,12047,Non-human activity,0,0
"FL, Hardee",2003-2022,12049,Non-human activity,0,0
"FL, Hendry",2003-2022,12051,Non-human activity,0,0
"FL, Hernando",2003-2022,12053,Non-human activity,0,0
"FL, Highlands",2003-2022,12055,Non-human activity,0,0
"FL, Hillsborough",2003-2022,12057,Human disease cases and non-human activity,3,3
"FL, Holmes",2003-2022,12059,Human disease cases and non-human activity,1,1
"FL, Indian River",2003-2022,12061,Non-human activity,0,0
"FL, Jackson",2003-2022,12063,Non-human activity,0,0
"FL, Jefferson",2003-2022,12065,Non-human activity,0,0
"FL, Lafayette",2003-2022,12067,Non-human activity,0,0
"FL, Lake",2003-2022,12069,Non-human activity,0,0
"FL, Lee",2003-2022,12071,Non-human activity,0,0
"FL, Leon",2003-2022,12073,Human disease cases and non-human activity,3,3
"FL, Levy",2003-2022,12075,Human disease cases and non-human activity,1,1
"FL, Liberty",2003-2022,12077,Non-human activity,0,0
"FL, Madison",2003-2022,12079,Non-human activity,0,0
"FL, Manatee",2003-2022,12081,Non-human activity,0,0
"FL, Marion",2003-2022,12083,Non-human activity,0,0
"FL, Martin",2003-2022,12085,Non-human activity,0,0
"FL, Miami-Dade",2003-2022,12086,Human disease cases and non-human activity,1,1
"FL, Monroe",2003-2022,12087,Non-human activity,0,0
"FL, Nassau",2003-2022,12089,Non-human activity,0,0
"FL, Okaloosa",2003-2022,12091,Human disease cases and non-human activity,1,1
"FL, Okeechobee",2003-2022,12093,Non-human activity,0,0
"FL, Orange",2003-2022,12095,Human disease cases and non-human activity,1,1
"FL, Osceola",2003-2022,12097,Non-human activity,0,0
"FL, Palm Beach",2003-2022,12099,Non-human activity,0,0
"FL, Pasco",2003-2022,12101,Human disease cases and non-human activity,1,1
"FL, Pinellas",2003-2022,12103,Non-human activity,0,0
"FL, Polk",2003-2022,12105,Human disease cases and non-human activity,1,1
"FL, Putnam",2003-2022,12107,Non-human activity,0,0
"FL, St Johns",2003-2022,12109,Non-human activity,0,0
"FL, St Lucie",2003-2022,12111,Non-human activity,0,0
"FL, Santa Rosa",2003-2022,12113,Non-human activity,0,0
"FL, Sarasota",2003-2022,12115,Non-human activity,0,0
"FL, Seminole",2003-2022,12117,Non-human activity,0,0
"FL, Sumter",2003-2022,12119,Non-human activity,0,0
"FL, Suwannee",2003-2022,12121,Human disease cases and non-human activity,1,1
"FL, Taylor",2003-2022,12123,Human disease cases and non-human activity,1,1
"FL, Union",2003-2022,12125,Non-human activity,0,0
"FL, Volusia",2003-2022,12127,Human disease cases and non-human activity,1,1
"FL, Wakulla",2003-2022,12129,Human disease cases and non-human activity,1,1
"FL, Walton",2003-2022,12131,Non-human activity,0,0
"FL, Washington",2003-2022,12133,Non-human activity,0,0
"GA, Appling",2003-2022,13001,Non-human activity,0,0
"GA, Atkinson",2003-2022,13003,Non-human activity,0,0
"GA, Bacon",2003-2022,13005,Non-human activity,0,0
"GA, Baker",2003-2022,13007,Non-human activity,0,0
"GA, Baldwin",2003-2022,13009,Non-human activity,0,0
"GA, Bartow",2003-2022,13015,Non-human activity,0,0
"GA, Ben Hill",2003-2022,13017,Non-human activity,0,0
"GA, Berrien",2003-2022,13019,Non-human activity,0,0
"GA, Bibb",2003-2022,13021,Non-human activity,0,0
"GA, Bleckley",2003-2022,13023,Non-human activity,0,0
"GA, Brantley",2003-2022,13025,Non-human activity,0,0
"GA, Brooks",2003-2022,13027,Non-human activity,0,0
"GA, Bryan",2003-2022,13029,Non-human activity,0,0
"GA, Bulloch",2003-2022,13031,Non-human activity,0,0
"GA, Burke",2003-2022,13033,Non-human activity,0,0
"GA, Calhoun",2003-2022,13037,Non-human activity,0,0
"GA, Camden",2003-2022,13039,Human disease cases and non-human activity,1,1
"GA, Candler",2003-2022,13043,Non-human activity,0,0
"GA, Carroll",2003-2022,13045,Non-human activity,0,0
"GA, Charlton",2003-2022,13049,Non-human activity,0,0
"GA, Chatham",2003-2022,13051,Human disease cases and non-human activity,1,1
"GA, Chattooga",2003-2022,13055,Non-human activity,0,0
"GA, Clinch",2003-2022,13065,Human disease cases and non-human activity,1,1
"GA, Coffee",2003-2022,13069,Non-human activity,0,0
"GA, Colquitt",2003-2022,13071,Non-human activity,0,0
"GA, Cook",2003-2022,13075,Non-human activity,0,0
"GA, Crawford",2003-2022,13079,Non-human activity,0,0
"GA, Crisp",2003-2022,13081,Non-human activity,0,0
"GA, Decatur",2003-2022,13087,Non-human activity,0,0
"GA, De Kalb",2003-2022,13089,Non-human activity,0,0
"GA, Dooly",2003-2022,13093,Non-human activity,0,0
"GA, Dougherty",2003-2022,13095,Non-human activity,0,0
"GA, Early",2003-2022,13099,Non-human activity,0,0
"GA, Echols",2003-2022,13101,Non-human activity,0,0
"GA, Effingham",2003-2022,13103,Non-human activity,0,0
"GA, Emanuel",2003-2022,13107,Non-human activity,0,0
"GA, Evans",2003-2022,13109,Non-human activity,0,0
"GA, Fayette",2003-2022,13113,Non-human activity,0,0
"GA, Glascock",2003-2022,13125,Non-human activity,0,0
"GA, Glynn",2003-2022,13127,Human disease cases and non-human activity,2,2
"GA, Grady",2003-2022,13131,Non-human activity,0,0
"GA, Houston",2003-2022,13153,Human disease cases and non-human activity,1,1
"GA, Irwin",2003-2022,13155,Non-human activity,0,0
"GA, Jeff Davis",2003-2022,13161,Non-human activity,0,0
"GA, Jefferson",2003-2022,13163,Non-human activity,0,0
"GA, Jenkins",2003-2022,13165,Non-human activity,0,0
"GA, Johnson",2003-2022,13167,Non-human activity,0,0
"GA, Lanier",2003-2022,13173,Non-human activity,0,0
"GA, Laurens",2003-2022,13175,Non-human activity,0,0
"GA, Lee",2003-2022,13177,Non-human activity,0,0
"GA, Liberty",2003-2022,13179,Human disease cases and non-human activity,1,1
"GA, Lincoln",2003-2022,13181,Non-human activity,0,0
"GA, Long",2003-2022,13183,Non-human activity,0,0
"GA, Lowndes",2003-2022,13185,Human disease cases and non-human activity,2,2
"GA, Mcduffie",2003-2022,13189,Non-human activity,0,0
"GA, Macon",2003-2022,13193,Non-human activity,0,0
"GA, Marion",2003-2022,13197,Non-human activity,0,0
"GA, Meriwether",2003-2022,13199,Non-human activity,0,0
"GA, Mitchell",2003-2022,13205,Non-human activity,0,0
"GA, Montgomery",2003-2022,13209,Non-human activity,0,0
"GA, Muscogee",2003-2022,13215,Human disease cases,1,1
"GA, Peach",2003-2022,13225,Non-human activity,0,0
"GA, Pierce",2003-2022,13229,Non-human activity,0,0
"GA, Richmond",2003-2022,13245,Non-human activity,0,0
"GA, Screven",2003-2022,13251,Non-human activity,0,0
"GA, Seminole",2003-2022,13253,Non-human activity,0,0
"GA, Tattnall",2003-2022,13267,Human disease cases and non-human activity,1,1
"GA, Terrell",2003-2022,13273,Non-human activity,0,0
"GA, Thomas",2003-2022,13275,Human disease cases and non-human activity,1,1
"GA, Tift",2003-2022,13277,Non-human activity,0,0
"GA, Treutlen",2003-2022,13283,Non-human activity,0,0
"GA, Twiggs",2003-2022,13289,Non-human activity,0,0
"GA, Walton",2003-2022,13297,Non-human activity,0,0
"GA, Ware",2003-2022,13299,Non-human activity,0,0
"GA, Washington",2003-2022,13303,Non-human activity,0,0
"GA, Wayne",2003-2022,13305,Non-human activity,0,0
"GA, Wheeler",2003-2022,13309,Non-human activity,0,0
"GA, Whitfield",2003-2022,13313,Human disease cases,1,1
"GA, Wilcox",2003-2022,13315,Non-human activity,0,0
"GA, Wilkinson",2003-2022,13319,Non-human activity,0,0
"GA, Worth",2003-2022,13321,Non-human activity,0,0
"IL, Cook",2003-2022,17031,Non-human activity,0,0
"IL, Massac",2003-2022,17127,Non-human activity,0,0
"IN, Adams",2003-2022,18001,Non-human activity,0,0
"IN, Boone",2003-2022,18011,Non-human activity,0,0
"IN, Daviess",2003-2022,18027,Non-human activity,0,0
"IN, Decatur",2003-2022,18031,Non-human activity,0,0
"IN, De Kalb",2003-2022,18033,Non-human activity,0,0
"IN, Delaware",2003-2022,18035,Non-human activity,0,0
"IN, Elkhart",2003-2022,18039,Human disease cases and non-human activity,1,1
"IN, Franklin",2003-2022,18047,Non-human activity,0,0
"IN, Hendricks",2003-2022,18063,Non-human activity,0,0
"IN, Howard",2003-2022,18067,Non-human activity,0,0
"IN, Jay",2003-2022,18075,Non-human activity,0,0
"IN, Kosciusko",2003-2022,18085,Non-human activity,0,0
"IN, La Grange",2003-2022,18087,Non-human activity,0,0
"IN, La Porte",2003-2022,18091,Human disease cases and non-human activity,1,1
"IN, Madison",2003-2022,18095,Non-human activity,0,0
"IN, Marshall",2003-2022,18099,Non-human activity,0,0
"IN, Martin",2003-2022,18101,Non-human activity,0,0
"IN, Noble",2003-2022,18113,Non-human activity,0,0
"IN, Owen",2003-2022,18119,Non-human activity,0,0
"IN, Putnam",2003-2022,18133,Non-human activity,0,0
"IN, Rush",2003-2022,18139,Non-human activity,0,0
"IN, St Joseph",2003-2022,18141,Non-human activity,0,0
"IN, Steuben",2003-2022,18151,Non-human activity,0,0
"IN, Whitley",2003-2022,18183,Non-human activity,0,0
"KY, Carlisle",2003-2022,21039,Non-human activity,0,0
"KY, Gallatin",2003-2022,21077,Non-human activity,0,0
"KY, Hart",2003-2022,21099,Non-human activity,0,0
"LA, Acadia Parish",2003-2022,22001,Non-human activity,0,0
"LA, Allen Parish",2003-2022,22003,Non-human activity,0,0
"LA, Ascension Parish",2003-2022,22005,Human disease cases and non-human activity,1,1
"LA, Assumption Parish",2003-2022,22007,Non-human activity,0,0
"LA, Avoyelles Parish",2003-2022,22009,Non-human activity,0,0
"LA, Beauregard Parish",2003-2022,22011,Non-human activity,0,0
"LA, Bienville Parish",2003-2022,22013,Non-human activity,0,0
"LA, Bossier Parish",2003-2022,22015,Non-human activity,0,0
"LA, Caddo Parish",2003-2022,22017,Non-human activity,0,0
"LA, Calcasieu Parish",2003-2022,22019,Human disease cases and non-human activity,1,1
"LA, Cameron Parish",2003-2022,22023,Non-human activity,0,0
"LA, De Soto Parish",2003-2022,22031,Non-human activity,0,0
"LA, East Baton Rouge Parish",2003-2022,22033,Human disease cases and non-human activity,1,1
"LA, East Carroll Parish",2003-2022,22035,Non-human activity,0,0
"LA, East Feliciana Parish",2003-2022,22037,Non-human activity,0,0
"LA, Evangeline Parish",2003-2022,22039,Non-human activity,0,0
"LA, Franklin Parish",2003-2022,22041,Non-human activity,0,0
"LA, Grant Parish",2003-2022,22043,Non-human activity,0,0
"LA, Iberia Parish",2003-2022,22045,Non-human activity,0,0
"LA, Iberville Parish",2003-2022,22047,Non-human activity,0,0
"LA, Jackson Parish",2003-2022,22049,Non-human activity,0,0
"LA, Jefferson Parish",2003-2022,22051,Non-human activity,0,0
"LA, Jefferson Davis Parish",2003-2022,22053,Non-human activity,0,0
"LA, Lafayette Parish",2003-2022,22055,Non-human activity,0,0
"LA, Lafourche Parish",2003-2022,22057,Non-human activity,0,0
"LA, Lincoln Parish",2003-2022,22061,Non-human activity,0,0
"LA, Livingston Parish",2003-2022,22063,Non-human activity,0,0
"LA, Morehouse Parish",2003-2022,22067,Non-human activity,0,0
"LA, Natchitoches Parish",2003-2022,22069,Non-human activity,0,0
"LA, Orleans Parish",2003-2022,22071,Non-human activity,0,0
"LA, Ouachita Parish",2003-2022,22073,Non-human activity,0,0
"LA, Pointe Coupee Parish",2003-2022,22077,Non-human activity,0,0
"LA, Rapides Parish",2003-2022,22079,Non-human activity,0,0
"LA, Red River Parish",2003-2022,22081,Non-human activity,0,0
"LA, Richland Parish",2003-2022,22083,Non-human activity,0,0
"LA, Sabine Parish",2003-2022,22085,Non-human activity,0,0
"LA, St Bernard Parish",2003-2022,22087,Non-human activity,0,0
"LA, St Charles Parish",2003-2022,22089,Non-human activity,0,0
"LA, St James Parish",2003-2022,22093,Non-human activity,0,0
"LA, St John The Baptist Parish",2003-2022,22095,Human disease cases and non-human activity,1,1
"LA, St Landry Parish",2003-2022,22097,Non-human activity,0,0
"LA, St Martin Parish",2003-2022,22099,Non-human activity,0,0
"LA, St Mary Parish",2003-2022,22101,Non-human activity,0,0
"LA, St Tammany Parish",2003-2022,22103,Non-human activity,0,0
"LA, Tangipahoa Parish",2003-2022,22105,Human disease cases and non-human activity,1,1
"LA, Terrebonne Parish",2003-2022,22109,Non-human activity,0,0
"LA, Union Parish",2003-2022,22111,Non-human activity,0,0
"LA, Vermilion Parish",2003-2022,22113,Non-human activity,0,0
"LA, Vernon Parish",2003-2022,22115,Non-human activity,0,0
"LA, Washington Parish",2003-2022,22117,Non-human activity,0,0
"LA, Webster Parish",2003-2022,22119,Non-human activity,0,0
"LA, West Baton Rouge Parish",2003-2022,22121,Non-human activity,0,0
"LA, West Carroll Parish",2003-2022,22123,Non-human activity,0,0
"LA, Winn Parish",2003-2022,22127,Non-human activity,0,0
"ME, Cumberland",2003-2022,23005,Non-human activity,0,0
"ME, Franklin",2003-2022,23007,Non-human activity,0,0
"ME, Kennebec",2003-2022,23011,Non-human activity,0,0
"ME, Knox",2003-2022,23013,Non-human activity,0,0
"ME, Oxford",2003-2022,23017,Non-human activity,0,0
"ME, Penobscot",2003-2022,23019,Non-human activity,0,0
"ME, Somerset",2003-2022,23025,Non-human activity,0,0
"ME, Waldo",2003-2022,23027,Non-human activity,0,0
"ME, York",2003-2022,23031,Human disease cases and non-human activity,2,2
"MD, Anne Arundel",2003-2022,24003,Non-human activity,0,0
"MD, Prince Georges",2003-2022,24033,Human disease cases and non-human activity,1,1
"MD, Wicomico",2003-2022,24045,Non-human activity,0,0
"MD, Worcester",2003-2022,24047,Non-human activity,0,0
"MA, Barnstable",2003-2022,25001,Non-human activity,0,0
"MA, Berkshire",2003-2022,25003,Non-human activity,0,0
"MA, Bristol",2003-2022,25005,Human disease cases and non-human activity,7,7
"MA, Essex",2003-2022,25009,Human disease cases and non-human activity,4,4
"MA, Franklin",2003-2022,25011,Human disease cases and non-human activity,1,1
"MA, Hampden",2003-2022,25013,Human disease cases and non-human activity,3,3
"MA, Hampshire",2003-2022,25015,Non-human activity,0,0
"MA, Middlesex",2003-2022,25017,Human disease cases and non-human activity,4,4
"MA, Norfolk",2003-2022,25021,Human disease cases and non-human activity,4,4
"MA, Plymouth",2003-2022,25023,Human disease cases and non-human activity,14,14
"MA, Worcester",2003-2022,25027,Human disease cases and non-human activity,4,4
"MI, Allegan",2003-2022,26005,Human disease cases and non-human activity,1,1
"MI, Alpena",2003-2022,26007,Non-human activity,0,0
"MI, Arenac",2003-2022,26011,Non-human activity,0,0
"MI, Baraga",2003-2022,26013,Non-human activity,0,0
"MI, Barry",2003-2022,26015,Human disease cases and non-human activity,3,3
"MI, Bay",2003-2022,26017,Non-human activity,0,0
"MI, Berrien",2003-2022,26021,Human disease cases and non-human activity,2,2
"MI, Branch",2003-2022,26023,Non-human activity,0,0
"MI, Calhoun",2003-2022,26025,Human disease cases and non-human activity,1,1
"MI, Cass",2003-2022,26027,Human disease cases and non-human activity,2,2
"MI, Chippewa",2003-2022,26033,Non-human activity,0,0
