FullGeoName,Year,County,Activity,Total human disease cases,Neuroinvasive disease cases
"MI, Clare",2003-2022,26035,Non-human activity,0,0
"MI, Delta",2003-2022,26041,Human disease cases,1,1
"MI, Dickinson",2003-2022,26043,Non-human activity,0,0
"MI, Eaton",2003-2022,26045,Non-human activity,0,0
"MI, Genesee",2003-2022,26049,Non-human activity,0,0
"MI, Gladwin",2003-2022,26051,Non-human activity,0,0
"MI, Hillsdale",2003-2022,26059,Non-human activity,0,0
"MI, Houghton",2003-2022,26061,Non-human activity,0,0
"MI, Ingham",2003-2022,26065,Non-human activity,0,0
"MI, Ionia",2003-2022,26067,Non-human activity,0,0
"MI, Iron",2003-2022,26071,Non-human activity,0,0
"MI, Isabella",2003-2022,26073,Non-human activity,0,0
"MI, Jackson",2003-2022,26075,Non-human activity,0,0
"MI, Kalamazoo",2003-2022,26077,Human disease cases and non-human activity,5,5
"MI, Kent",2003-2022,26081,Non-human activity,0,0
"MI, Lapeer",2003-2022,26087,Non-human activity,0,0
"MI, Leelanau",2003-2022,26089,Non-human activity,0,0
"MI, Lenawee",2003-2022,26091,Non-human activity,0,0
"MI, Livingston",2003-2022,26093,Human disease cases and non-human activity,1,1
"MI, Luce",2003-2022,26095,Non-human activity,0,0
"MI, Mackinac",2003-2022,26097,Non-human activity,0,0
"MI, Marquette",2003-2022,26103,Human disease cases and non-human activity,1,1
"MI, Mecosta",2003-2022,26107,Non-human activity,0,0
"MI, Menominee",2003-2022,26109,Non-human activity,0,0
"MI, Midland",2003-2022,26111,Non-human activity,0,0
"MI, Missaukee",2003-2022,26113,Non-human activity,0,0
"MI, Monroe",2003-2022,26115,Human disease cases,1,1
"MI, Montcalm",2003-2022,26117,Human disease cases and non-human activity,1,1
"MI, Newaygo",2003-2022,26123,Non-human activity,0,0
"MI, Oakland",2003-2022,26125,Human disease cases and non-human activity,1,1
"MI, Ontonagon",2003-2022,26131,Non-human activity,0,0
"MI, Osceola",2003-2022,26133,Non-human activity,0,0
"MI, Otsego",2003-2022,26137,Non-human activity,0,0
"MI, Presque Isle",2003-2022,26141,Non-human activity,0,0
"MI, Roscommon",2003-2022,26143,Non-human activity,0,0
"MI, St Joseph",2003-2022,26149,Non-human activity,0,0
"MI, Schoolcraft",2003-2022,26153,Non-human activity,0,0
"MI, Shiawassee",2003-2022,26155,Non-human activity,0,0
"MI, Tuscola",2003-2022,26157,Non-human activity,0,0
"MI, Van Buren",2003-2022,26159,Human disease cases and non-human activity,2,2
"MI, Wexford",2003-2022,26165,Non-human activity,0,0
"MN, Aitkin",2003-2022,27001,Non-human activity,0,0
"MN, Benton",2003-2022,27009,Non-human activity,0,0
"MN, Chisago",2003-2022,27025,Non-human activity,0,0
"MN, Itasca",2003-2022,27061,Non-human activity,0,0
"MN, Otter Tail",2003-2022,27111,Non-human activity,0,0
"MS, Alcorn",2003-2022,28003,Non-human activity,0,0
"MS, Attala",2003-2022,28007,Non-human activity,0,0
"MS, Clarke",2003-2022,28023,Non-human activity,0,0
"MS, Coahoma",2003-2022,28027,Non-human activity,0,0
"MS, Copiah",2003-2022,28029,Non-human activity,0,0
"MS, Covington",2003-2022,28031,Non-human activity,0,0
"MS, Forrest",2003-2022,28035,Non-human activity,0,0
"MS, George",2003-2022,28039,Non-human activity,0,0
"MS, Greene",2003-2022,28041,Non-human activity,0,0
"MS, Grenada",2003-2022,28043,Non-human activity,0,0
"MS, Hancock",2003-2022,28045,Non-human activity,0,0
"MS, Harrison",2003-2022,28047,Non-human activity,0,0
"MS, Hinds",2003-2022,28049,Non-human activity,0,0
"MS, Holmes",2003-2022,28051,Non-human activity,0,0
"MS, Jackson",2003-2022,28059,Non-human activity,0,0
"MS, Jasper",2003-2022,28061,Non-human activity,0,0
"MS, Jones",2003-2022,28067,Non-human activity,0,0
"MS, Kemper",2003-2022,28069,Non-human activity,0,0
"MS, Lafayette",2003-2022,28071,Non-human activity,0,0
"MS, Lamar",2003-2022,28073,Non-human activity,0,0
"MS, Lauderdale",2003-2022,28075,Non-human activity,0,0
"MS, Lawrence",2003-2022,28077,Non-human activity,0,0
"MS, Leake",2003-2022,28079,Non-human activity,0,0
"MS, Lee",2003-2022,28081,Non-human activity,0,0
"MS, Leflore",2003-2022,28083,Non-human activity,0,0
"MS, Madison",2003-2022,28089,Non-human activity,0,0
"MS, Marion",2003-2022,28091,Non-human activity,0,0
"MS, Monroe",2003-2022,28095,Non-human activity,0,0
"MS, Neshoba",2003-2022,28099,Non-human activity,0,0
"MS, Newton",2003-2022,28101,Non-human activity,0,0
"MS, Noxubee",2003-2022,28103,Non-human activity,0,0
"MS, Oktibbeha",2003-2022,28105,Non-human activity,0,0
"MS, Pearl River",2003-2022,28109,Non-human activity,0,0
"MS, Perry",2003-2022,28111,Non-human activity,0,0
"MS, Pike",2003-2022,28113,Non-human activity,0,0
"MS, Rankin",2003-2022,28121,Non-human activity,0,0
"MS, Scott",2003-2022,28123,Non-human activity,0,0
"MS, Simpson",2003-2022,28127,Non-human activity,0,0
"MS, Stone",2003-2022,28131,Non-human activity,0,0
"MS, Sunflower",2003-2022,28133,Non-human activity,0,0
"MS, Tate",2003-2022,28137,Non-human activity,0,0
"MS, Tishomingo",2003-2022,28141,Non-human activity,0,0
"MS, Walthall",2003-2022,28147,Non-human activity,0,0
"MS, Wayne",2003-2022,28153,Non-human activity,0,0
"MS, Webster",2003-2022,28155,Non-human activity,0,0
"MS, Yazoo",2003-2022,28163,Non-human activity,0,0
"MO, St Louis",2003-2022,29189,Human disease cases,1,1
"MT, Yellowstone",2003-2022,30111,Human disease cases,1,1
"NH, Belknap",2003-2022,33001,Non-human activity,0,0
"NH, Carroll",2003-2022,33003,Human disease cases and non-human activity,1,1
"NH, Cheshire",2003-2022,33005,Non-human activity,0,0
"NH, Grafton",2003-2022,33009,Non-human activity,0,0
"NH, Hillsborough",2003-2022,33011,Human disease cases and non-human activity,3,3
"NH, Merrimack",2003-2022,33013,Human disease cases and non-human activity,3,3
"NH, Rockingham",2003-2022,33015,Human disease cases and non-human activity,8,5
"NH, Strafford",2003-2022,33017,Non-human activity,0,0
"NJ, Atlantic",2003-2022,34001,Human disease cases and non-human activity,2,2
"NJ, Burlington",2003-2022,34005,Non-human activity,0,0
"NJ, Camden",2003-2022,34007,Non-human activity,0,0
"NJ, Cape May",2003-2022,34009,Non-human activity,0,0
"NJ, Cumberland",2003-2022,34011,Human disease cases and non-human activity,1,1
"NJ, Gloucester",2003-2022,34015,Non-human activity,0,0
"NJ, Hunterdon",2003-2022,34019,Non-human activity,0,0
"NJ, Mercer",2003-2022,34021,Non-human activity,0,0
"NJ, Middlesex",2003-2022,34023,Human disease cases and non-human activity,1,1
"NJ, Monmouth",2003-2022,34025,Non-human activity,0,0
"NJ, Morris",2003-2022,34027,Non-human activity,0,0
"NJ, Ocean",2003-2022,34029,Human disease cases and non-human activity,1,1
"NJ, Passaic",2003-2022,34031,Human disease cases and non-human activity,1,1
"NJ, Salem",2003-2022,34033,Non-human activity,0,0
"NJ, Somerset",2003-2022,34035,Human disease cases,1,1
"NJ, Sussex",2003-2022,34037,Non-human activity,0,0
"NJ, Union",2003-2022,34039,Human disease cases and non-human activity,1,1
"NJ, Warren",2003-2022,34041,Non-human activity,0,0
"NY, Cattaraugus",2003-2022,36009,Non-human activity,0,0
"NY, Chautauqua",2003-2022,36013,Non-human activity,0,0
"NY, Chemung",2003-2022,36015,Non-human activity,0,0
"NY, Clinton",2003-2022,36019,Non-human activity,0,0
"NY, Dutchess",2003-2022,36027,Non-human activity,0,0
"NY, Jefferson",2003-2022,36045,Non-human activity,0,0
"NY, Lewis",2003-2022,36049,Non-human activity,0,0
"NY, Madison",2003-2022,36053,Non-human activity,0,0
"NY, Montgomery",2003-2022,36057,Non-human activity,0,0
"NY, Nassau",2003-2022,36059,Non-human activity,0,0
"NY, Oneida",2003-2022,36065,Non-human activity,0,0
"NY, Onondaga",2003-2022,36067,Human disease cases and non-human activity,5,5
"NY, Ontario",2003-2022,36069,Non-human activity,0,0
"NY, Orange",2003-2022,36071,Non-human activity,0,0
"NY, Oswego",2003-2022,36075,Human disease cases and non-human activity,3,3
"NY, Putnam",2003-2022,36079,Non-human activity,0,0
"NY, Rockland",2003-2022,36087,Non-human activity,0,0
"NY, St Lawrence",2003-2022,36089,Non-human activity,0,0
"NY, Suffolk",2003-2022,36103,Non-human activity,0,0
"NY, Sullivan",2003-2022,36105,Non-human activity,0,0
"NY, Ulster",2003-2022,36111,Non-human activity,0,0
"NY, Washington",2003-2022,36115,Non-human activity,0,0
"NY, Wayne",2003-2022,36117,Non-human activity,0,0
"NY, Westchester",2003-2022,36119,Non-human activity,0,0
"NC, Anson",2003-2022,37007,Non-human activity,0,0
"NC, Beaufort",2003-2022,37013,Non-human activity,0,0
"NC, Bertie",2003-2022,37015,Non-human activity,0,0
"NC, Bladen",2003-2022,37017,Non-human activity,0,0
"NC, Brunswick",2003-2022,37019,Human disease cases and non-human activity,1,1
"NC, Cabarrus",2003-2022,37025,Non-human activity,0,0
"NC, Camden",2003-2022,37029,Non-human activity,0,0
"NC, Carteret",2003-2022,37031,Non-human activity,0,0
"NC, Catawba",2003-2022,37035,Human disease cases,1,1
"NC, Chowan",2003-2022,37041,Non-human activity,0,0
"NC, Columbus",2003-2022,37047,Non-human activity,0,0
"NC, Craven",2003-2022,37049,Non-human activity,0,0
"NC, Cumberland",2003-2022,37051,Human disease cases and non-human activity,1,1
"NC, Currituck",2003-2022,37053,Non-human activity,0,0
"NC, Dare",2003-2022,37055,Non-human activity,0,0
"NC, Davidson",2003-2022,37057,Non-human activity,0,0
"NC, Duplin",2003-2022,37061,Non-human activity,0,0
"NC, Durham",2003-2022,37063,Non-human activity,0,0
"NC, Edgecombe",2003-2022,37065,Non-human activity,0,0
"NC, Franklin",2003-2022,37069,Non-human activity,0,0
"NC, Gaston",2003-2022,37071,Non-human activity,0,0
"NC, Gates",2003-2022,37073,Non-human activity,0,0
"NC, Granville",2003-2022,37077,Non-human activity,0,0
"NC, Greene",2003-2022,37079,Non-human activity,0,0
"NC, Guilford",2003-2022,37081,Non-human activity,0,0
"NC, Halifax",2003-2022,37083,Non-human activity,0,0
"NC, Harnett",2003-2022,37085,Non-human activity,0,0
"NC, Henderson",2003-2022,37089,Non-human activity,0,0
"NC, Hertford",2003-2022,37091,Non-human activity,0,0
"NC, Hoke",2003-2022,37093,Human disease cases and non-human activity,2,2
"NC, Johnston",2003-2022,37101,Non-human activity,0,0
"NC, Jones",2003-2022,37103,Non-human activity,0,0
"NC, Lee",2003-2022,37105,Non-human activity,0,0
"NC, Lenoir",2003-2022,37107,Non-human activity,0,0
"NC, Martin",2003-2022,37117,Non-human activity,0,0
"NC, Mecklenburg",2003-2022,37119,Human disease cases,1,1
"NC, Moore",2003-2022,37125,Non-human activity,0,0
"NC, Nash",2003-2022,37127,Non-human activity,0,0
"NC, New Hanover",2003-2022,37129,Human disease cases and non-human activity,1,1
"NC, Northampton",2003-2022,37131,Non-human activity,0,0
"NC, Onslow",2003-2022,37133,Non-human activity,0,0
"NC, Orange",2003-2022,37135,Non-human activity,0,0
"NC, Pamlico",2003-2022,37137,Non-human activity,0,0
"NC, Pasquotank",2003-2022,37139,Non-human activity,0,0
"NC, Pender",2003-2022,37141,Human disease cases and non-human activity,1,1
"NC, Perquimans",2003-2022,37143,Human disease cases and non-human activity,1,1
"NC, Pitt",2003-2022,37147,Human disease cases and non-human activity,1,1
"NC, Polk",2003-2022,37149,Non-human activity,0,0
"NC, Randolph",2003-2022,37151,Non-human activity,0,0
"NC, Richmond",2003-2022,37153,Non-human activity,0,0
"NC, Robeson",2003-2022,37155,Human disease cases and non-human activity,1,1
"NC, Sampson",2003-2022,37163,Non-human activity,0,0
"NC, Scotland",2003-2022,37165,Human disease cases and non-human activity,2,2
"NC, Stanly",2003-2022,37167,Non-human activity,0,0
"NC, Union",2003-2022,37179,Non-human activity,0,0
"NC, Wake",2003-2022,37183,Non-human activity,0,0
"NC, Washington",2003-2022,37187,Non-human activity,0,0
"NC, Wayne",2003-2022,37191,Non-human activity,0,0
"NC, Wilson",2003-2022,37195,Non-human activity,0,0
"NC, Yadkin",2003-2022,37197,Non-human activity,0,0
"ND, Mckenzie",2003-2022,38053,Non-human activity,0,0
"OH, Allen",2003-2022,39003,Non-human activity,0,0
"OH, Ashtabula",2003-2022,39007,Non-human activity,0,0
"OH, Champaign",2003-2022,39021,Non-human activity,0,0
"OH, Holmes",2003-2022,39075,Non-human activity,0,0
"OH, Mercer",2003-2022,39107,Non-human activity,0,0
"OH, Pickaway",2003-2022,39129,Non-human activity,0,0
"OH, Portage",2003-2022,39133,Non-human activity,0,0
"OH, Sandusky",2003-2022,39143,Non-human activity,0,0
"OH, Trumbull",2003-2022,39155,Non-human activity,0,0
"OH, Williams",2003-2022,39171,Non-human activity,0,0
"OK, Mccurtain",2003-2022,40089,Non-human activity,0,0
"OK, Tulsa",2003-2022,40143,Non-human activity,0,0
"PA, Carbon",2003-2022,42025,Non-human activity,0,0
"PA, Erie",2003-2022,42049,Non-human activity,0,0
"PA, Lancaster",2003-2022,42071,Non-human activity,0,0
"PA, Luzerne",2003-2022,42079,Human disease cases and non-human activity,1,1
"PA, Mercer",2003-2022,42085,Non-human activity,0,0
"PA, Monroe",2003-2022,42089,Non-human activity,0,0
"RI, Bristol",2003-2022,44001,Non-human activity,0,0
"RI, Kent",2003-2022,44003,Human disease cases and non-human activity,2,2
"RI, Newport",2003-2022,44005,Human disease cases and non-human activity,1,1
"RI, Providence",2003-2022,44007,Non-human activity,0,0
"RI, Washington",2003-2022,44009,Human disease cases and non-human activity,1,1
"SC, Aiken",2003-2022,45003,Human disease cases and non-human activity,2,2
"SC, Anderson",2003-2022,45007,Non-human activity,0,0
"SC, Bamberg",2003-2022,45009,Human disease cases and non-human activity,1,1
"SC, Barnwell",2003-2022,45011,Non-human activity,0,0
"SC, Beaufort",2003-2022,45013,Non-human activity,0,0
"SC, Berkeley",2003-2022,45015,Non-human activity,0,0
"SC, Calhoun",2003-2022,45017,Non-human activity,0,0
"SC, Charleston",2003-2022,45019,Non-human activity,0,0
"SC, Chesterfield",2003-2022,45025,Non-human activity,0,0
"SC, Clarendon",2003-2022,45027,Non-human activity,0,0
"SC, Colleton",2003-2022,45029,Non-human activity,0,0
"SC, Darlington",2003-2022,45031,Non-human activity,0,0
"SC, Dillon",2003-2022,45033,Non-human activity,0,0
"SC, Dorchester",2003-2022,45035,Non-human activity,0,0
"SC, Florence",2003-2022,45041,Non-human activity,0,0
"SC, Georgetown",2003-2022,45043,Non-human activity,0,0
"SC, Greenville",2003-2022,45045,Non-human activity,0,0
"SC, Hampton",2003-2022,45049,Non-human activity,0,0
"SC, Horry",2003-2022,45051,Non-human activity,0,0
"SC, Jasper",2003-2022,45053,Non-human activity,0,0
"SC, Kershaw",2003-2022,45055,Non-human activity,0,0
"SC, Lancaster",2003-2022,45057,Non-human activity,0,0
"SC, Lee",2003-2022,45061,Non-human activity,0,0
"SC, Lexington",2003-2022,45063,Human disease cases and non-human activity,1,1
"SC, Marion",2003-2022,45067,Non-human activity,0,0
"SC, Marlboro",2003-2022,45069,Human disease cases and non-human activity,1,1
"SC, Orangeburg",2003-2022,45075,Non-human activity,0,0
"SC, Pickens",2003-2022,45077,Non-human activity,0,0
"SC, Richland",2003-2022,45079,Non-human activity,0,0
"SC, Sumter",2003-2022,45085,Non-human activity,0,0
"SC, Williamsburg",2003-2022,45089,Non-human activity,0,0
"TN, Anderson",2003-2022,47001,Non-human activity,0,0
"TN, Benton",2003-2022,47005,Non-human activity,0,0
"TN, Blount",2003-2022,47009,Non-human activity,0,0
"TN, Carroll",2003-2022,47017,Non-human activity,0,0
"TN, Chester",2003-2022,47023,Non-human activity,0,0
"TN, Franklin",2003-2022,47051,Non-human activity,0,0
"TN, Gibson",2003-2022,47053,Non-human activity,0,0
"TN, Hamilton",2003-2022,47065,Human disease cases and non-human activity,1,1
"TN, Hawkins",2003-2022,47073,Non-human activity,0,0
"TN, Henderson",2003-2022,47077,Non-human activity,0,0
"TN, Madison",2003-2022,47113,Non-human activity,0,0
"TN, Putnam",2003-2022,47141,Non-human activity,0,0
"TX, Anderson",2003-2022,48001,Non-human activity,0,0
"TX, Bowie",2003-2022,48037,Non-human activity,0,0
"TX, Cass",2003-2022,48067,Non-human activity,0,0
"TX, Denton",2003-2022,48121,Non-human activity,0,0
"TX, Ellis",2003-2022,48139,Non-human activity,0,0
"TX, Galveston",2003-2022,48167,Non-human activity,0,0
"TX, Grimes",2003-2022,48185,Non-human activity,0,0
"TX, Hardin",2003-2022,48199,Non-human activity,0,0
"TX, Harris",2003-2022,48201,Non-human activity,0,0
"TX, Harrison",2003-2022,48203,Non-human activity,0,0
"TX, Henderson",2003-2022,48213,Non-human activity,0,0
"TX, Jasper",2003-2022,48241,Non-human activity,0,0
"TX, Jefferson",2003-2022,48245,Non-human activity,0,0
"TX, Leon",2003-2022,48289,Non-human activity,0,0
"TX, Liberty",2003-2022,48291,Non-human activity,0,0
"TX, Montgomery",2003-2022,48339,Non-human activity,0,0
"TX, Newton",2003-2022,48351,Non-human activity,0,0
"TX, Orange",2003-2022,48361,Non-human activity,0,0
"TX, Panola",2003-2022,48365,Non-human activity,0,0
"TX, Rusk",2003-2022,48401,Non-human activity,0,0
"TX, San Jacinto",2003-2022,48407,Non-human activity,0,0
"TX, Smith",2003-2022,48423,Non-human activity,0,0
"TX, Titus",2003-2022,48449,Non-human activity,0,0
"TX, Tyler",2003-2022,48457,Non-human activity,0,0
"TX, Upshur",2003-2022,48459,Non-human activity,0,0
"TX, Wood",2003-2022,48499,Non-human activity,0,0
"VT, Addison",2003-2022,50001,Non-human activity,0,0
"VT, Chittenden",2003-2022,50007,Non-human activity,0,0
"VT, Franklin",2003-2022,50011,Non-human activity,0,0
"VT, Grand Isle",2003-2022,50013,Non-human activity,0,0
"VT, Rutland",2003-2022,50021,Human disease cases and non-human activity,2,2
"VA, Accomack",2003-2022,51001,Non-human activity,0,0
"VA, Charles City",2003-2022,51036,Non-human activity,0,0
"VA, Chesterfield",2003-2022,51041,Non-human activity,0,0
"VA, Dinwiddie",2003-2022,51053,Non-human activity,0,0
"VA, Gloucester",2003-2022,51073,Human disease cases,1,1
"VA, Isle Of Wight",2003-2022,51093,Non-human activity,0,0
"VA, Madison",2003-2022,51113,Non-human activity,0,0
"VA, New Kent",2003-2022,51127,Non-human activity,0,0
"VA, Pittsylvania",2003-2022,51143,Non-human activity,0,0
"VA, Powhatan",2003-2022,51145,Non-human activity,0,0
"VA, Prince George",2003-2022,51149,Non-human activity,0,0
"VA, Southampton",2003-2022,51175,Non-human activity,0,0
"VA, Surry",2003-2022,51181,Non-human activity,0,0
"VA, Sussex",2003-2022,51183,Non-human activity,0,0
"VA, Chesapeake City",2003-2022,51550,Non-human activity,0,0
"VA, Falls Church City",2003-2022,51610,Non-human activity,0,0
"VA, Hampton City",2003-2022,51650,Non-human activity,0,0
"VA, Newport News City",2003-2022,51700,Non-human activity,0,0
"VA, Norfolk City",2003-2022,51710,Non-human activity,0,0
"VA, Portsmouth City",2003-2022,51740,Human disease cases and non-human activity,1,1
"VA, Suffolk City",2003-2022,51800,Non-human activity,0,0
"VA, Virginia Beach City",2003-2022,51810,Non-human activity,0,0
"WV, Berkeley",2003-2022,54003,Non-human activity,0,0
"WV, Nicholas",2003-2022,54067,Non-human activity,0,0
"WV, Wood",2003-2022,54107,Non-human activity,0,0
"WI, Ashland",2003-2022,55003,Non-human activity,0,0
"WI, Barron",2003-2022,55005,Non-human activity,0,0
"WI, Bayfield",2003-2022,55007,Non-human activity,0,0
"WI, Burnett",2003-2022,55013,Non-human activity,0,0
"WI, Calumet",2003-2022,55015,Non-human activity,0,0
"WI, Chippewa",2003-2022,55017,Human disease cases and non-human activity,1,1
"WI, Clark",2003-2022,55019,Non-human activity,0,0
"WI, Dodge",2003-2022,55027,Non-human activity,0,0
"WI, Dunn",2003-2022,55033,Human disease cases and non-human activity,1,1
"WI, Eau Claire",2003-2022,55035,Human disease cases and non-human activity,1,1
"WI, Forest",2003-2022,55041,Non-human activity,0,0
"WI, Green Lake",2003-2022,55047,Non-human activity,0,0
"WI, Jackson",2003-2022,55053,Non-human activity,0,0
"WI, Juneau",2003-2022,55057,Non-human activity,0,0
"WI, Langlade",2003-2022,55067,Non-human activity,0,0
"WI, Lincoln",2003-2022,55069,Non-human activity,0,0
"WI, Marathon",2003-2022,55073,Non-human activity,0,0
"WI, Marinette",2003-2022,55075,Human disease cases,1,1
"WI, Marquette",2003-2022,55077,Non-human activity,0,0
"WI, Milwaukee",2003-2022,55079,Human disease cases,1,1
"WI, Monroe",2003-2022,55081,Non-human activity,0,0
"WI, Oconto",2003-2022,55083,Non-human activity,0,0
"WI, Oneida",2003-2022,55085,Human disease cases and non-human activity,1,1
"WI, Pepin",2003-2022,55091,Non-human activity,0,0
"WI, Polk",2003-2022,55095,Non-human activity,0,0
"WI, Price",2003-2022,55099,Non-human activity,0,0
"WI, Racine",2003-2022,55101,Non-human activity,0,0
"WI, Rusk",2003-2022,55107,Non-human activity,0,0
"WI, Shawano",2003-2022,55115,Non-human activity,0,0
"WI, Sheboygan",2003-2022,55117,Non-human activity,0,0
"WI, Taylor",2003-2022,55119,Non-human activity,0,0
"WI, Trempealeau",2003-2022,55121,Non-human activity,0,0
"WI, Vilas",2003-2022,55125,Non-human activity,0,0
"WI, Walworth",2003-2022,55127,Non-human activity,0,0
"WI, Washburn",2003-2022,55129,Non-human activity,0,0
"WI, Waupaca",2003-2022,55135,Non-human activity,0,0
"WI, Waushara",2003-2022,55137,Non-human activity,0,0
"WI, Wood",2003-2022,55141,Non-human activity,0,0